# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen: Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/dup500.dat
# Output file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/dup500.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
n,500,500,500,500,500,500
n_comparisons,N/A,13729,3874,9978,13008,3858
n_exchanges,N/A,4058,2914,2406,2206,2317
n_partition_calls,N/A,0,499,499,499,500
elapsed_ns,N/A,9451000,7524000,7502000,7031000,8219000
,,,,,,
ix,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
0,275,1,1,1,1,1
1,371,2,2,2,2,2
2,321,4,4,4,4,4
3,335,5,5,5,5,5
4,448,6,6,6,6,6
5,13,7,7,7,7,7
6,385,8,8,8,8,8
7,167,9,9,9,9,9
8,306,10,10,10,10,10
9,319,11,11,11,11,11
10,468,12,12,12,12,12
11,300,13,13,13,13,13
12,250,13,13,13,13,13
13,218,15,15,15,15,15
14,349,15,15,15,15,15
15,307,16,16,16,16,16
16,417,20,20,20,20,20
17,239,21,21,21,21,21
18,377,21,21,21,21,21
19,452,22,22,22,22,22
20,393,22,22,22,22,22
21,286,23,23,23,23,23
22,69,24,24,24,24,24
23,319,25,25,25,25,25
24,221,27,27,27,27,27
25,46,28,28,28,28,28
26,28,30,30,30,30,30
27,81,31,31,31,31,31
28,21,32,32,32,32,32
29,276,33,33,33,33,33
30,263,34,34,34,34,34
31,351,36,36,36,36,36
32,191,36,36,36,36,36
33,326,38,38,38,38,38
34,417,39,39,39,39,39
35,255,39,39,39,39,39
36,166,40,40,40,40,40
37,486,41,41,41,41,41
38,55,43,43,43,43,43
39,71,44,44,44,44,44
40,420,44,44,44,44,44
41,324,46,46,46,46,46
42,490,47,47,47,47,47
43,488,47,47,47,47,47
44,39,48,48,48,48,48
45,134,53,53,53,53,53
46,320,54,54,54,54,54
47,487,55,55,55,55,55
48,119,55,55,55,55,55
49,381,55,55,55,55,55
