# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen: Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/ran1k.dat
# Output file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/ran1k.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
n,1000,1000,1000,1000,1000,1000
n_comparisons,N/A,31285,8732,19680,30149,8801
n_exchanges,N/A,9062,6265,5073,4651,5214
n_partition_calls,N/A,0,999,999,999,1000
elapsed_ns,N/A,20820000,16293000,15140000,14239000,13948000
,,,,,,
ix,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
0,791,1,1,1,1,1
1,208,2,2,2,2,2
2,18,3,3,3,3,3
3,118,4,4,4,4,4
4,32,5,5,5,5,5
5,509,6,6,6,6,6
6,760,7,7,7,7,7
7,729,8,8,8,8,8
8,936,9,9,9,9,9
9,78,10,10,10,10,10
10,622,11,11,11,11,11
11,230,12,12,12,12,12
12,564,13,13,13,13,13
13,147,14,14,14,14,14
14,981,15,15,15,15,15
15,398,16,16,16,16,16
16,270,17,17,17,17,17
17,439,18,18,18,18,18
18,822,19,19,19,19,19
19,987,20,20,20,20,20
20,673,21,21,21,21,21
21,53,22,22,22,22,22
22,989,23,23,23,23,23
23,633,24,24,24,24,24
24,959,25,25,25,25,25
25,474,26,26,26,26,26
26,433,27,27,27,27,27
27,559,28,28,28,28,28
28,533,29,29,29,29,29
29,187,30,30,30,30,30
30,397,31,31,31,31,31
31,495,32,32,32,32,32
32,713,33,33,33,33,33
33,820,34,34,34,34,34
34,181,35,35,35,35,35
35,809,36,36,36,36,36
36,136,37,37,37,37,37
37,244,38,38,38,38,38
38,985,39,39,39,39,39
39,724,40,40,40,40,40
40,954,41,41,41,41,41
41,735,42,42,42,42,42
42,601,43,43,43,43,43
43,652,44,44,44,44,44
44,211,45,45,45,45,45
45,526,46,46,46,46,46
46,545,47,47,47,47,47
47,103,48,48,48,48,48
48,759,49,49,49,49,49
49,10,50,50,50,50,50
50,664,51,51,51,51,51
51,483,52,52,52,52,52
52,190,53,53,53,53,53
53,618,54,54,54,54,54
54,617,55,55,55,55,55
55,467,56,56,56,56,56
56,529,57,57,57,57,57
57,110,58,58,58,58,58
58,358,59,59,59,59,59
59,889,60,60,60,60,60
60,817,61,61,61,61,61
61,779,62,62,62,62,62
62,156,63,63,63,63,63
63,804,64,64,64,64,64
64,177,65,65,65,65,65
65,546,66,66,66,66,66
66,699,67,67,67,67,67
67,980,68,68,68,68,68
68,535,69,69,69,69,69
69,394,70,70,70,70,70
70,683,71,71,71,71,71
71,745,72,72,72,72,72
72,609,73,73,73,73,73
73,373,74,74,74,74,74
74,818,75,75,75,75,75
75,903,76,76,76,76,76
76,331,77,77,77,77,77
77,655,78,78,78,78,78
78,595,79,79,79,79,79
79,542,80,80,80,80,80
80,840,81,81,81,81,81
81,512,82,82,82,82,82
82,101,83,83,83,83,83
83,814,84,84,84,84,84
84,575,85,85,85,85,85
85,242,86,86,86,86,86
86,40,87,87,87,87,87
87,318,88,88,88,88,88
88,671,89,89,89,89,89
89,304,90,90,90,90,90
90,557,91,91,91,91,91
91,754,92,92,92,92,92
92,166,93,93,93,93,93
93,580,94,94,94,94,94
94,119,95,95,95,95,95
95,4,96,96,96,96,96
96,234,97,97,97,97,97
97,19,98,98,98,98,98
98,837,99,99,99,99,99
99,849,100,100,100,100,100
100,463,101,101,101,101,101
101,313,102,102,102,102,102
102,780,103,103,103,103,103
103,268,104,104,104,104,104
104,35,105,105,105,105,105
105,66,106,106,106,106,106
106,676,107,107,107,107,107
107,805,108,108,108,108,108
108,563,109,109,109,109,109
109,898,110,110,110,110,110
110,883,111,111,111,111,111
111,388,112,112,112,112,112
112,274,113,113,113,113,113
113,424,114,114,114,114,114
114,70,115,115,115,115,115
115,368,116,116,116,116,116
116,115,117,117,117,117,117
117,616,118,118,118,118,118
118,927,119,119,119,119,119
119,285,120,120,120,120,120
120,38,121,121,121,121,121
121,865,122,122,122,122,122
122,179,123,123,123,123,123
123,297,124,124,124,124,124
124,783,125,125,125,125,125
125,810,126,126,126,126,126
126,799,127,127,127,127,127
127,680,128,128,128,128,128
128,585,129,129,129,129,129
129,690,130,130,130,130,130
130,728,131,131,131,131,131
131,170,132,132,132,132,132
132,801,133,133,133,133,133
133,472,134,134,134,134,134
134,122,135,135,135,135,135
135,220,136,136,136,136,136
136,1,137,137,137,137,137
137,647,138,138,138,138,138
138,239,139,139,139,139,139
139,369,140,140,140,140,140
140,255,141,141,141,141,141
141,375,142,142,142,142,142
142,309,143,143,143,143,143
143,577,144,144,144,144,144
144,83,145,145,145,145,145
145,224,146,146,146,146,146
146,99,147,147,147,147,147
147,886,148,148,148,148,148
148,648,149,149,149,149,149
149,550,150,150,150,150,150
150,403,151,151,151,151,151
151,720,152,152,152,152,152
152,245,153,153,153,153,153
153,897,154,154,154,154,154
154,951,155,155,155,155,155
155,145,156,156,156,156,156
156,105,157,157,157,157,157
157,996,158,158,158,158,158
158,493,159,159,159,159,159
159,157,160,160,160,160,160
160,848,161,161,161,161,161
161,879,162,162,162,162,162
162,204,163,163,163,163,163
163,247,164,164,164,164,164
164,741,165,165,165,165,165
165,312,166,166,166,166,166
166,96,167,167,167,167,167
167,896,168,168,168,168,168
168,732,169,169,169,169,169
169,829,170,170,170,170,170
170,281,171,171,171,171,171
171,787,172,172,172,172,172
172,823,173,173,173,173,173
173,660,174,174,174,174,174
174,391,175,175,175,175,175
175,80,176,176,176,176,176
176,289,177,177,177,177,177
177,81,178,178,178,178,178
178,774,179,179,179,179,179
179,522,180,180,180,180,180
180,888,181,181,181,181,181
181,341,182,182,182,182,182
182,390,183,183,183,183,183
183,491,184,184,184,184,184
184,232,185,185,185,185,185
185,928,186,186,186,186,186
186,637,187,187,187,187,187
187,280,188,188,188,188,188
188,346,189,189,189,189,189
189,161,190,190,190,190,190
190,461,191,191,191,191,191
191,842,192,192,192,192,192
192,222,193,193,193,193,193
193,803,194,194,194,194,194
194,836,195,195,195,195,195
195,610,196,196,196,196,196
196,216,197,197,197,197,197
197,214,198,198,198,198,198
198,392,199,199,199,199,199
