# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen: Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/dup1k.dat
# Output file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/dup1k.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
n,1000,1000,1000,1000,1000,1000
n_comparisons,N/A,31511,8743,20477,35164,8746
n_exchanges,N/A,9100,6289,5106,4663,5040
n_partition_calls,N/A,0,999,999,999,1000
elapsed_ns,N/A,20053000,16321000,16136000,14382000,13737000
,,,,,,
ix,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
0,201,1,1,1,1,1
1,243,2,2,2,2,2
2,759,3,3,3,3,3
3,34,4,4,4,4,4
4,101,4,4,4,4,4
5,105,5,5,5,5,5
6,103,7,7,7,7,7
7,670,8,8,8,8,8
8,236,9,9,9,9,9
9,308,11,11,11,11,11
10,45,12,12,12,12,12
11,850,13,13,13,13,13
12,50,14,14,14,14,14
13,768,14,14,14,14,14
14,680,15,15,15,15,15
15,46,15,15,15,15,15
16,818,17,17,17,17,17
17,62,17,17,17,17,17
18,412,18,18,18,18,18
19,564,19,19,19,19,19
20,947,20,20,20,20,20
21,904,20,20,20,20,20
22,456,20,20,20,20,20
23,735,21,21,21,21,21
24,292,22,22,22,22,22
25,261,22,22,22,22,22
26,871,23,23,23,23,23
27,94,24,24,24,24,24
28,98,25,25,25,25,25
29,129,26,26,26,26,26
30,565,26,26,26,26,26
31,965,27,27,27,27,27
32,315,28,28,28,28,28
33,237,30,30,30,30,30
34,548,31,31,31,31,31
35,102,31,31,31,31,31
36,475,32,32,32,32,32
37,693,34,34,34,34,34
38,607,35,35,35,35,35
39,832,35,35,35,35,35
40,179,36,36,36,36,36
41,287,38,38,38,38,38
42,553,38,38,38,38,38
43,645,39,39,39,39,39
44,79,40,40,40,40,40
45,950,41,41,41,41,41
46,429,42,42,42,42,42
47,452,44,44,44,44,44
48,50,45,45,45,45,45
49,196,46,46,46,46,46
50,135,46,46,46,46,46
51,477,46,46,46,46,46
52,988,47,47,47,47,47
53,331,49,49,49,49,49
54,397,50,50,50,50,50
55,765,50,50,50,50,50
56,576,51,51,51,51,51
57,804,52,52,52,52,52
58,873,53,53,53,53,53
59,136,55,55,55,55,55
60,737,56,56,56,56,56
61,792,57,57,57,57,57
62,310,57,57,57,57,57
63,661,58,58,58,58,58
64,192,59,59,59,59,59
65,74,59,59,59,59,59
66,358,60,60,60,60,60
67,326,61,61,61,61,61
68,966,62,62,62,62,62
69,653,63,63,63,63,63
70,328,66,66,66,66,66
71,718,66,66,66,66,66
72,652,67,67,67,67,67
73,671,70,70,70,70,70
74,86,70,70,70,70,70
75,815,71,71,71,71,71
76,933,74,74,74,74,74
77,348,75,75,75,75,75
78,580,76,76,76,76,76
79,732,77,77,77,77,77
80,998,79,79,79,79,79
81,472,80,80,80,80,80
82,19,81,81,81,81,81
83,236,82,82,82,82,82
84,785,83,83,83,83,83
85,214,85,85,85,85,85
86,207,86,86,86,86,86
87,814,87,87,87,87,87
88,826,87,87,87,87,87
89,356,88,88,88,88,88
90,115,89,89,89,89,89
91,167,90,90,90,90,90
92,563,91,91,91,91,91
93,269,91,91,91,91,91
94,808,94,94,94,94,94
95,249,95,95,95,95,95
96,547,97,97,97,97,97
97,100,98,98,98,98,98
98,393,99,99,99,99,99
99,961,100,100,100,100,100
100,930,101,101,101,101,101
101,28,101,101,101,101,101
102,202,102,102,102,102,102
103,871,102,102,102,102,102
